,Country,Age,Gender,playlist_id,link,music_genre
853,North Macedonia,25-29,male,spotify:playlist:7bUXpyW9tFu2DuWd088ZcM,https://everynoise.com/everydemo.cgi?root=MK%2025-29m&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'turbo folk', 'kosovan pop', 'german hip hop', 'tallava', 'balkan hip hop', 'balkan trap', 'balkan drill', 'basshall', 'greek trap', 'serbian hip hop']"
854,North Macedonia,30-34,male,spotify:playlist:1ss2HqTEbrtUAjFxDVVzve,https://everynoise.com/everydemo.cgi?root=MK%2030-34m&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'kosovan pop', 'german hip hop', 'turbo folk', 'balkan trap', 'tallava']"
855,North Macedonia,35-44,male,spotify:playlist:1uJtmhXbOjmpwyCfmbG8mO,https://everynoise.com/everydemo.cgi?root=MK%2035-44m&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'kosovan pop', 'german hip hop', 'tallava']"
856,Norway,0-17,female,spotify:playlist:2jR8d9Dq7gooDMfzjdZUrX,https://everynoise.com/everydemo.cgi?root=NO%200-17f&amp;gscope=all&amp;ascope=all,"['russelater', 'norwegian pop', 'norwegian pop rap', 'hjemmesnekk', 'norwegian indie', 'mgpjr', 'drikkelek', 'norwegian hip hop', 'classic norwegian pop', 'nordic house', 'norwegian rock', 'norwegian trap']"
857,Norway,0-17,male,spotify:playlist:5KoXjI2PpABzIpZmRtqe5Y,https://everynoise.com/everydemo.cgi?root=NO%200-17m&amp;gscope=all&amp;ascope=all,"['russelater', 'norwegian pop rap', 'norwegian trap', 'norwegian pop', 'hjemmesnekk', 'swedish trap pop', 'drikkelek', 'swedish hip hop']"
858,Norway,18-24,female,spotify:playlist:2JEcmaDsmJTkqGaxzbw5Zj,https://everynoise.com/everydemo.cgi?root=NO%2018-24f&amp;gscope=all&amp;ascope=all,"['norwegian pop', 'norwegian pop rap', 'russelater', 'norwegian indie', 'drikkelek', 'hjemmesnekk', 'mgpjr', 'classic norwegian pop', 'norske viser', 'norwegian hip hop', 'norwegian rock', 'talentkonkurranse', 'norwegian trap', 'tropical house']"
859,Norway,18-24,male,spotify:playlist:2w9UmLPoGMO5FKcuf6WWSF,https://everynoise.com/everydemo.cgi?root=NO%2018-24m&amp;gscope=all&amp;ascope=all,"['norwegian pop rap', 'russelater', 'norwegian pop', 'norwegian trap', 'hjemmesnekk', 'nordnorsk rap', 'norwegian indie', 'swedish trap pop', 'nordic house', 'norwegian hip hop']"
860,Norway,18-24,nonbinary,spotify:playlist:54LCouWnY3Bl7Xw1EvJwbe,https://everynoise.com/everydemo.cgi?root=NO%2018-24n&amp;gscope=all&amp;ascope=all,"['norwegian pop', 'norwegian pop rap', 'russelater', 'norwegian indie', 'norwegian trap', 'tropical house', 'norwegian hip hop', 'norwegian rock', 'swedish pop']"
861,Norway,25-29,female,spotify:playlist:3tvg3AmIC00I2e5fYYwUzQ,https://everynoise.com/everydemo.cgi?root=NO%2025-29f&amp;gscope=all&amp;ascope=all,"['norwegian pop', 'norwegian indie', 'norwegian pop rap', 'talentkonkurranse', 'nordnorsk musikk', 'norske viser', 'classic norwegian pop', 'tropical house', 'russelater', 'scandipop', 'eurovision', 'norwegian rock', 'norwegian singer-songwriter', 'norwegian trap']"
862,Norway,25-29,male,spotify:playlist:1i68ZDKpD8V2tbHWNZVdOT,https://everynoise.com/everydemo.cgi?root=NO%2025-29m&amp;gscope=all&amp;ascope=all,"['norwegian pop rap', 'norwegian pop', 'norwegian hip hop', 'danseband', 'norwegian country', 'norwegian indie', 'norwegian rock', 'classic norwegian pop', 'norwegian trap', 'russelater', 'nordnorsk rap', 'rogaland musikk', 'nordic house', 'nordnorsk musikk', 'norwegian alternative rock', 'norwegian punk rock']"
